loss,learning_rate,n_estimators,time,accuracy,precision,recall
deviance,0.1,40,0.12292075157165527,0.7779141104294478,0.7803030303030303,0.7667493796526055
deviance,0.1,50,0.14999842643737793,0.7779141104294478,0.7761194029850746,0.7741935483870968
deviance,0.1,75,0.22299933433532715,0.7791411042944786,0.7794486215538847,0.771712158808933
deviance,0.1,100,0.28207921981811523,0.7828220858895706,0.7825,0.7766749379652605
deviance,0.1,125,0.34800267219543457,0.7865030674846626,0.7869674185463659,0.7791563275434243
deviance,0.1,150,0.4315657615661621,0.7791411042944786,0.7822784810126582,0.7667493796526055
deviance,0.1,200,0.5669989585876465,0.7791411042944786,0.7766749379652605,0.7766749379652605
deviance,0.1,250,0.6959946155548096,0.7791411042944786,0.7794486215538847,0.771712158808933
deviance,0.1,300,0.8583197593688965,0.7730061349693251,0.7711442786069652,0.7692307692307693
deviance,0.1,350,0.9986693859100342,0.7705521472392638,0.7686567164179104,0.7667493796526055
deviance,0.1,400,1.1188549995422363,0.7644171779141105,0.7644110275689223,0.7568238213399504
deviance,0.1,500,1.3944475650787354,0.7656441717791411,0.7610837438423645,0.7667493796526055
deviance,0.5,10,0.029079914093017578,0.7680981595092025,0.786096256684492,0.7295285359801489
deviance,0.5,20,0.056926727294921875,0.758282208588957,0.764102564102564,0.739454094292804
deviance,0.5,30,0.08307385444641113,0.7705521472392638,0.7797927461139896,0.7468982630272953
deviance,0.5,40,0.11499953269958496,0.758282208588957,0.7682291666666666,0.7320099255583127
deviance,0.5,50,0.13901281356811523,0.747239263803681,0.7545219638242894,0.7245657568238213
deviance,0.5,75,0.21091961860656738,0.747239263803681,0.7506361323155216,0.7320099255583127
deviance,0.5,100,0.27899956703186035,0.750920245398773,0.7525252525252525,0.739454094292804
deviance,0.5,125,0.36699962615966797,0.7386503067484662,0.7411167512690355,0.7245657568238213
deviance,0.5,150,0.44267725944519043,0.750920245398773,0.7525252525252525,0.739454094292804
deviance,0.5,200,0.581005334854126,0.7533742331288343,0.7525,0.7468982630272953
deviance,0.5,250,0.7015798091888428,0.754601226993865,0.7556675062972292,0.7444168734491315
deviance,0.5,300,0.8321905136108398,0.750920245398773,0.7487562189054726,0.7468982630272953
deviance,0.5,350,0.9720489978790283,0.758282208588957,0.7536945812807881,0.7593052109181141
deviance,0.5,400,1.1236977577209473,0.7533742331288343,0.7525,0.7468982630272953
deviance,0.5,500,1.4207937717437744,0.7460122699386503,0.745,0.739454094292804
deviance,1.0,10,0.028392553329467773,0.7742331288343558,0.781491002570694,0.7543424317617866
deviance,1.0,20,0.05399894714355469,0.7619631901840491,0.7659033078880407,0.7468982630272953
deviance,1.0,30,0.08199930191040039,0.7521472392638037,0.7481481481481481,0.7518610421836228
deviance,1.0,40,0.11799263954162598,0.747239263803681,0.7481108312342569,0.7369727047146402
deviance,1.0,50,0.1439990997314453,0.750920245398773,0.7487562189054726,0.7468982630272953
deviance,1.0,75,0.2219994068145752,0.7411042944785277,0.7341463414634146,0.7468982630272953
deviance,1.0,100,0.2880821228027344,0.7288343558282209,0.7286432160804021,0.7196029776674938
deviance,1.0,125,0.358989953994751,0.7386503067484662,0.7339901477832512,0.739454094292804
deviance,1.0,150,0.42796826362609863,0.7325153374233129,0.7295285359801489,0.7295285359801489
deviance,1.0,200,0.5639488697052002,0.7398773006134969,0.7381546134663342,0.7344913151364765
deviance,1.0,250,0.7267804145812988,0.7361963190184049,0.7361809045226131,0.7270471464019851
