activation,solver,layers,iterations,time,accuracy,precision,recall
identity,adam,6,200,0.14866161346435547,0.8446244477172312,0.8622754491017964,0.8287769784172662
identity,adam,6,250,0.1674792766571045,0.8424153166421208,0.85949177877429,0.8273381294964028
identity,adam,6,300,0.1699981689453125,0.841678939617084,0.8571428571428571,0.8287769784172662
identity,adam,6,350,0.1569199562072754,0.8409425625920471,0.8601503759398497,0.823021582733813
identity,adam,6,400,0.178436279296875,0.841678939617084,0.8592814371257484,0.8258992805755395
identity,adam,6,450,0.14499425888061523,0.8424153166421208,0.8616541353383459,0.8244604316546763
identity,adam,6,500,0.18300700187683105,0.8409425625920471,0.861236802413273,0.8215827338129497
identity,adam,6,550,0.17800450325012207,0.8409425625920471,0.856929955290611,0.8273381294964028
identity,adam,6,600,0.18354558944702148,0.8409425625920471,0.8579970104633782,0.8258992805755395
identity,adam,6,650,0.18307900428771973,0.8446244477172312,0.8611940298507462,0.8302158273381295
identity,adam,6,700,0.14100170135498047,0.845360824742268,0.8624813153961136,0.8302158273381295
logistic,adam,6,200,0.6849579811096191,0.853460972017673,0.8532763532763533,0.8618705035971223
logistic,adam,6,250,0.861053466796875,0.8549337260677466,0.8577586206896551,0.8589928057553957
logistic,adam,6,300,1.003962755203247,0.8541973490427098,0.8534850640113798,0.8633093525179856
logistic,adam,6,350,1.1528329849243164,0.853460972017673,0.8522727272727273,0.8633093525179856
logistic,adam,6,400,1.2204277515411377,0.8571428571428571,0.8563300142247511,0.8661870503597122
logistic,adam,6,450,1.2752764225006104,0.8549337260677466,0.8557142857142858,0.8618705035971223
logistic,adam,6,500,1.0680296421051025,0.8527245949926362,0.8530670470756063,0.860431654676259
logistic,adam,6,550,0.9944446086883545,0.8549337260677466,0.8536931818181818,0.8647482014388489
logistic,adam,6,600,1.2553434371948242,0.8541973490427098,0.8534850640113798,0.8633093525179856
logistic,adam,6,650,1.3703923225402832,0.8512518409425626,0.8516405135520685,0.8589928057553957
logistic,adam,6,700,1.1469910144805908,0.853460972017673,0.8532763532763533,0.8618705035971223
relu,adam,6,200,0.5970427989959717,0.8556701030927835,0.848951048951049,0.8733812949640288
relu,adam,6,250,0.8773865699768066,0.8549337260677466,0.8507042253521127,0.8690647482014389
relu,adam,6,300,0.7556657791137695,0.841678939617084,0.8380281690140845,0.8561151079136691
relu,adam,6,350,0.7982518672943115,0.8505154639175257,0.8445378151260504,0.8676258992805755
relu,adam,6,400,1.1803834438323975,0.8468335787923417,0.8405594405594405,0.8647482014388489
relu,adam,6,450,0.9554448127746582,0.8505154639175257,0.853448275862069,0.8546762589928057
relu,adam,6,500,1.0114104747772217,0.8527245949926362,0.8451882845188284,0.8719424460431655
relu,adam,6,550,0.8251450061798096,0.8460972017673049,0.8491379310344828,0.8503597122302158
relu,adam,6,600,0.7742912769317627,0.853460972017673,0.8454038997214485,0.8733812949640288
relu,adam,6,650,0.8648083209991455,0.8409425625920471,0.8387553041018387,0.8532374100719424
relu,adam,6,700,1.0697441101074219,0.8556701030927835,0.8549075391180654,0.8647482014388489
identity,sgd,8,200,0.23792243003845215,0.8409425625920471,0.8590704647676162,0.8244604316546763
identity,sgd,8,250,0.24948573112487793,0.8350515463917526,0.8530734632683659,0.818705035971223
identity,sgd,8,300,0.196000337600708,0.8424153166421208,0.85949177877429,0.8273381294964028
identity,sgd,8,350,0.2132275104522705,0.8394698085419735,0.8575712143928036,0.823021582733813
identity,sgd,8,400,0.1852734088897705,0.8409425625920471,0.8601503759398497,0.823021582733813
identity,sgd,8,450,0.22507619857788086,0.8424153166421208,0.8616541353383459,0.8244604316546763
identity,sgd,8,500,0.1900787353515625,0.8394698085419735,0.8608169440242057,0.818705035971223
identity,sgd,8,550,0.2690901756286621,0.8402061855670103,0.8588588588588588,0.823021582733813
identity,sgd,8,600,0.2120814323425293,0.841678939617084,0.8614457831325302,0.823021582733813
identity,sgd,8,650,0.21491646766662598,0.8431516936671576,0.8607784431137725,0.8273381294964028
identity,sgd,8,700,0.23999428749084473,0.8431516936671576,0.8618618618618619,0.8258992805755395
logistic,sgd,8,200,0.6020016670227051,0.8298969072164949,0.8515151515151516,0.8086330935251799
logistic,sgd,8,250,0.75201416015625,0.8409425625920471,0.8590704647676162,0.8244604316546763
logistic,sgd,8,300,0.8977968692779541,0.845360824742268,0.8624813153961136,0.8302158273381295
logistic,sgd,8,350,0.9072122573852539,0.841678939617084,0.8592814371257484,0.8258992805755395
logistic,sgd,8,400,0.8580112457275391,0.8438880706921944,0.8609865470852018,0.8287769784172662
logistic,sgd,8,450,0.9362883567810059,0.8424153166421208,0.8573551263001485,0.8302158273381295
logistic,sgd,8,500,0.8349204063415527,0.8387334315169367,0.8573573573573574,0.8215827338129497
logistic,sgd,8,550,0.9111409187316895,0.841678939617084,0.8603603603603603,0.8244604316546763
logistic,sgd,8,600,0.8579051494598389,0.8446244477172312,0.8601190476190477,0.8316546762589928
logistic,sgd,8,650,0.8195116519927979,0.8409425625920471,0.8601503759398497,0.823021582733813
logistic,sgd,8,700,1.0450098514556885,0.8431516936671576,0.856508875739645,0.8330935251798561
relu,sgd,8,200,0.6692466735839844,0.8468335787923417,0.8444130127298444,0.8589928057553957
relu,sgd,8,250,0.8280892372131348,0.845360824742268,0.8529839883551674,0.8431654676258993
relu,sgd,8,300,0.8160190582275391,0.8460972017673049,0.8491379310344828,0.8503597122302158
relu,sgd,8,350,0.644585132598877,0.8497790868924889,0.8472418670438473,0.8618705035971223
relu,sgd,8,400,1.0333349704742432,0.8527245949926362,0.8530670470756063,0.860431654676259
