,activation,solver,layers,iterations,time,accuracy,precision,recall
62,relu,adam,2,550,0.6879241466522217,0.842,0.6889763779527559,0.42475728155339804
63,relu,adam,2,600,1.0232853889465332,0.848,0.7368421052631579,0.4077669902912621
64,relu,adam,2,650,0.35932374000549316,0.854,0.7631578947368421,0.4223300970873786
65,relu,adam,2,700,0.5025670528411865,0.855,0.7824074074074074,0.41019417475728154
66,identity,sgd,4,200,0.1116640567779541,0.8395,0.7096774193548387,0.3737864077669903
67,identity,sgd,4,250,0.14897871017456055,0.8365,0.6940639269406392,0.36893203883495146
68,identity,sgd,4,300,0.19098544120788574,0.84,0.7072072072072072,0.38106796116504854
69,identity,sgd,4,350,0.15903949737548828,0.84,0.7129629629629629,0.3737864077669903
70,identity,sgd,4,400,0.1684262752532959,0.8395,0.7077625570776256,0.3762135922330097
71,identity,sgd,4,450,0.19461607933044434,0.8385,0.7013574660633484,0.3762135922330097
72,identity,sgd,4,500,0.1909196376800537,0.8385,0.6977777777777778,0.38106796116504854
73,identity,sgd,4,550,0.14694690704345703,0.8395,0.7077625570776256,0.3762135922330097
74,identity,sgd,4,600,0.17281055450439453,0.8405,0.7142857142857143,0.3762135922330097
75,identity,sgd,4,650,0.15702247619628906,0.8385,0.7050691244239631,0.3713592233009709
76,identity,sgd,4,700,0.20490646362304688,0.838,0.7,0.3737864077669903
77,logistic,sgd,4,200,0.740931510925293,0.8235,0.7610619469026548,0.2087378640776699
78,logistic,sgd,4,250,0.9211828708648682,0.8395,0.7660818713450293,0.3179611650485437
79,logistic,sgd,4,300,1.0048439502716064,0.842,0.7307692307692307,0.36893203883495146
80,logistic,sgd,4,350,0.8315997123718262,0.8395,0.7724550898203593,0.3131067961165049
81,logistic,sgd,4,400,0.7943031787872314,0.8365,0.7014218009478673,0.3592233009708738
82,logistic,sgd,4,450,0.8224971294403076,0.839,0.7083333333333334,0.3713592233009709
83,logistic,sgd,4,500,0.9171633720397949,0.8385,0.7069767441860465,0.36893203883495146
84,logistic,sgd,4,550,0.9696602821350098,0.84,0.7346938775510204,0.34951456310679613
85,logistic,sgd,4,600,0.902876615524292,0.839,0.75,0.3276699029126214
86,logistic,sgd,4,650,0.8408238887786865,0.8355,0.7292817679558011,0.32038834951456313
87,logistic,sgd,4,700,0.956657886505127,0.8355,0.7243243243243244,0.32524271844660196
88,relu,sgd,4,200,0.5013453960418701,0.8535,0.7575757575757576,0.42475728155339804
89,relu,sgd,4,250,0.6202421188354492,0.8455,0.7395348837209302,0.3859223300970874
90,relu,sgd,4,300,1.0237014293670654,0.8535,0.7531914893617021,0.42961165048543687
91,relu,sgd,4,350,0.6416215896606445,0.8435,0.6926070038910506,0.4320388349514563
