,iteration,score,size,algorithm
437,53.0,12210.37918194625,20,Simulated Annealing
438,55.0,12901.81414349171,20,Simulated Annealing
439,56.0,12901.81414349171,20,Simulated Annealing
440,57.0,12901.81414349171,20,Simulated Annealing
441,59.0,12922.262297162302,20,Simulated Annealing
442,61.0,12972.778256111476,20,Simulated Annealing
443,63.0,12977.869151449522,20,Simulated Annealing
444,64.0,12977.869151449522,20,Simulated Annealing
445,65.0,12977.869151449522,20,Simulated Annealing
446,66.0,12977.869151449522,20,Simulated Annealing
447,68.0,13448.897213314489,20,Simulated Annealing
448,69.0,13448.897213314489,20,Simulated Annealing
449,70.0,13448.897213314489,20,Simulated Annealing
450,71.0,13448.897213314489,20,Simulated Annealing
451,72.0,13448.897213314489,20,Simulated Annealing
452,73.0,13448.897213314489,20,Simulated Annealing
453,75.0,13566.841666638491,20,Simulated Annealing
454,76.0,13566.841666638491,20,Simulated Annealing
455,77.0,13566.841666638491,20,Simulated Annealing
456,78.0,13566.841666638491,20,Simulated Annealing
457,79.0,13566.841666638491,20,Simulated Annealing
458,80.0,13566.841666638491,20,Simulated Annealing
459,81.0,13566.841666638491,20,Simulated Annealing
460,82.0,13566.841666638491,20,Simulated Annealing
461,83.0,13566.841666638491,20,Simulated Annealing
462,84.0,13566.841666638491,20,Simulated Annealing
463,85.0,13566.841666638491,20,Simulated Annealing
464,402.0,14186.328275117237,25,Genetic
465,604.0,14603.539058966224,25,Genetic
466,805.0,14603.539058966224,25,Genetic
467,1007.0,14700.1144525079,25,Genetic
468,1209.0,14739.492493600885,25,Genetic
469,1411.0,14796.360123401566,25,Genetic
470,1613.0,14939.234648966727,25,Genetic
471,1815.0,15317.676280749545,25,Genetic
472,2016.0,15317.676280749545,25,Genetic
473,2217.0,15317.676280749545,25,Genetic
474,2418.0,15317.676280749545,25,Genetic
475,2619.0,15317.676280749545,25,Genetic
476,2820.0,15317.676280749545,25,Genetic
477,3022.0,15377.963451956424,25,Genetic
478,3224.0,15511.092005707404,25,Genetic
479,3425.0,15511.092005707404,25,Genetic
480,3627.0,15652.25122455642,25,Genetic
481,3828.0,15652.25122455642,25,Genetic
482,4029.0,15652.25122455642,25,Genetic
483,4231.0,15753.834700468726,25,Genetic
484,4432.0,15753.834700468726,25,Genetic
485,4633.0,15753.834700468726,25,Genetic
486,4834.0,15753.834700468726,25,Genetic
487,5035.0,15753.834700468726,25,Genetic
488,5236.0,15753.834700468726,25,Genetic
489,5438.0,15826.801858087241,25,Genetic
490,5639.0,15826.801858087241,25,Genetic
491,5840.0,15826.801858087241,25,Genetic
492,6041.0,15826.801858087241,25,Genetic
493,6243.0,15859.408268872177,25,Genetic
494,6444.0,15859.408268872177,25,Genetic
495,6646.0,15884.42036441035,25,Genetic
496,6847.0,15884.42036441035,25,Genetic
497,7049.0,15888.462455384875,25,Genetic
498,7251.0,15965.892559785272,25,Genetic
499,7453.0,15968.53254439402,25,Genetic
500,7654.0,15968.53254439402,25,Genetic
501,7856.0,16398.92492304147,25,Genetic
502,8057.0,16398.92492304147,25,Genetic
503,8258.0,16398.92492304147,25,Genetic
504,8459.0,16398.92492304147,25,Genetic
505,8660.0,16398.92492304147,25,Genetic
506,8861.0,16398.92492304147,25,Genetic
507,9062.0,16398.92492304147,25,Genetic
508,9264.0,16409.572575025646,25,Genetic
509,9465.0,16409.572575025646,25,Genetic
510,9666.0,16409.572575025646,25,Genetic
511,9867.0,16409.572575025646,25,Genetic
512,10069.0,16496.934753667167,25,Genetic
513,10270.0,16496.934753667167,25,Genetic
514,10471.0,16496.934753667167,25,Genetic
515,10672.0,16496.934753667167,25,Genetic
516,10873.0,16496.934753667167,25,Genetic
517,11074.0,16496.934753667167,25,Genetic
518,11275.0,16496.934753667167,25,Genetic
519,11476.0,16496.934753667167,25,Genetic
520,11677.0,16496.934753667167,25,Genetic
521,11878.0,16496.934753667167,25,Genetic
522,12079.0,16496.934753667167,25,Genetic
523,12080.0,12160.65994988813,25,Random Hill Climb
524,12081.0,12160.65994988813,25,Random Hill Climb
525,12083.0,12237.656733230568,25,Random Hill Climb
526,12085.0,12479.04351778901,25,Random Hill Climb
527,12086.0,12479.04351778901,25,Random Hill Climb
528,12087.0,12479.04351778901,25,Random Hill Climb
529,12089.0,13276.239728780067,25,Random Hill Climb
530,12090.0,13276.239728780067,25,Random Hill Climb
531,12091.0,13276.239728780067,25,Random Hill Climb
532,12092.0,13276.239728780067,25,Random Hill Climb
533,12094.0,13473.406723564796,25,Random Hill Climb
